folder,file,version,status,created_at,reviewer,notes
01_全体像,AIDX_Claude_Cowork_案件フォルダテンプレート表紙_v0.1.md,v0.1,draft,2026-07-20,PM,顧客向け表紙テキスト
01_全体像,AIDX_Cowork_案件表紙_図_v0.1.svg,v0.1,draft,2026-07-20,PM,5PJ表紙の図。PM/CEOへ説明済み
01_全体像,AIDX_品質確認2種類_議題図_v0.1.svg,v0.1,draft,2026-07-20,PM,品質確認2種類の議題図
01_全体像,AIDX_パッケージ利用タイムライン_図_v0.1.svg,v0.1,draft,2026-07-21,要確認,契約前〜導入支援12週間の利用場面図
01_全体像,AIDX_主要5PJ仕様_Slack共有文_v0.1.md,v0.1,draft,2026-07-20,要確認,チーム向けSlack共有文
02_PJ仕様_Claude_Cowork版,AIDX_PJ-01_Claude_Cowork仕様_v0.1.md,v0.1,superseded,2026-07-20,PM,参照用(最新はv0.3)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-01_Claude_Cowork仕様_v0.2.md,v0.2,superseded,2026-07-20,PM,参照用(最新はv0.3)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-01_Claude_Cowork仕様_v0.3.md,v0.3,current,2026-07-20,PM,正本
02_PJ仕様_Claude_Cowork版,AIDX_PJ-02_Claude_Cowork仕様_v0.1.md,v0.1,superseded,2026-07-21,PM,参照用(最新はv0.2)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-02_Claude_Cowork仕様_v0.2.md,v0.2,current,2026-07-20,PM,正本
02_PJ仕様_Claude_Cowork版,AIDX_PJ-03_Claude_Cowork仕様_v0.1.md,v0.1,superseded,2026-07-21,PM,参照用(最新はv0.2)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-03_Claude_Cowork仕様_v0.2.md,v0.2,current,2026-07-20,PM,正本
02_PJ仕様_Claude_Cowork版,AIDX_PJ-04_Claude_Cowork仕様_v0.1.md,v0.1,superseded,2026-07-21,PM,参照用(最新はv0.2)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-04_Claude_Cowork仕様_v0.2.md,v0.2,current,2026-07-20,PM,正本
02_PJ仕様_Claude_Cowork版,AIDX_PJ-05_Claude_Cowork仕様_v0.1.md,v0.1,superseded,2026-07-21,PM,参照用(最新はv0.2)
02_PJ仕様_Claude_Cowork版,AIDX_PJ-05_Claude_Cowork仕様_v0.2.md,v0.2,current,2026-07-20,PM,正本
03_品質確認,AIDX_QA0X_手動再監査プロンプト_v0.1.md,v0.1,draft,2026-07-21,PM,5PJ分のQA-0X手動再監査プロンプト。実データ未検証
04_テスト仕様,AIDX_PJ-01_再現性テスト仕様_v0.1.md,v0.1,superseded,2026-07-20,要確認,参照用(最新はv0.2)
04_テスト仕様,AIDX_PJ-01_再現性テスト仕様_v0.2.md,v0.2,current,2026-07-21,PM,正本。ゴールデンテスト4系統は未実行
05_AI利用ルール,AIDX_AI利用ルール_標準雛形_v0.1.md,v0.1,draft,2026-07-20,PM,雛形+記入例
05_AI利用ルール,AIDX_AI利用ルール_顧客向けマニュアル_v0.1.md,v0.1,draft,2026-07-21,PM,顧客向け説明資料
06_音声同意,AIDX_音声データ取扱いと同意_顧客向け_v0.1.md,v0.1,draft,2026-07-20,PM,顧客向け説明資料
07_v1.0参考資料,AIDX_PJ別プロンプト集_v1.0_統合版_Slack共有用.md,v1.0統合,reference,2026-07-20,要確認,Cowork移行前の旧版統合資料(内部参照用)
08_Notion連携メモ,AIDX_Notion移植用メモ_20260720.md,v0.1,draft,2026-07-20,要確認,PM管理シートへの正式反映は未実施
